New	Neu
NA Namibia\r\nNR Nauru\r\nNP Nepal\r\nNL Netherlands\r\nAN Netherlands Antilles\r\nNC New Caledonia\r\nNZ New Zealand\r\nNI Nicaragua\r\nNE Niger\r\nNG Nigeria\r\nNU Niue\r\nNF Norfolk Island\r\nMP Northern Mariana Islands\r\nNO Norway\r\nOM Oman\r\nPK Pakistan\r\nPW Palau\r\nPA Panama\r\nPG Papua New Guinea\r\nPY Paraguay\r\nPE Peru\r\nPH Philippines\r\nPN Pitcairn\r\nPL Poland\r\nPT Portugal\r\nPR Puerto Rico\r\nQA Qatar\r\nRE Reunion\r\nRO Romania\r\nRU Russian Federation\r\nRW Rwanda\r\nKN Saint Kitts And Nevis\r\nLC Saint Lucia\r\nVC Saint Vincent And Grenadines\r\nWS Samoa\r\nSM San Marino\r\nST Sao Tome And Principe\r\nSA Saudi Arabia\r\nSN Senegal\r\nSC Seychelles\r\nSL Sierra Leone\r\nSG Singapore\r\nSK Slovakia\r\nSI Slovenia\r\nSB Solomon Islands\r\nSO Somalia\r\nZA South Africa\r\nGS South Georgia, S. Sandwich\r\nES Spain\r\nLK Sri Lanka\r\nSH St. Helena\r\nPM St. Pierre And Miquelon\r\nSD Sudan\r\nSR Suriname\r\nSJ Svalbard, Jan Mayen Islands\r\nSZ Swaziland\r\nSE Sweden\r\nCH Switzerland\r\nSY Syrian Arab Republic	NA Namibia\r\nNR Nauru\r\nNP Nepal\r\nNC Neukaledonien (Französisch)\r\nNZ Neuseeland\r\nNI Nicaragua\r\nNL Niederlande\r\nAN Niederländische Antillen\r\nNE Niger\r\nNG Nigeria\r\nNU Niue\r\nMP Nördliche Marinen\r\nNF Norfolkinseln\r\nNO Norwegen\r\nAT Österreich\r\nTP Ost-Timor\r\nOM Oman\r\nPK Pakistan\r\nPW Palau\r\nPA Panama\r\nPG Papua-Neuguinea\r\nPY Paraguay\r\nPE Peru\r\nPH Philippinen\r\nPN Pitcairninsel\r\nPL Polen\r\nPF Polynesien (Französisch)\r\nPT Portugal\r\nPR Puerto Rico\r\nRW Ruanda\r\nRO Rumänien\r\nRU Russische Föderation\r\nZM Sambia\r\nWS Samoa\r\nSM San Marino\r\nST São Tomé und Príncipe\r\nSA Saudi-Arabien\r\nSE Schweden\r\nCH Schweiz\r\nSN Senegal\r\nSC Seychellen\r\nSL Sierra Leone\r\nZW Simbabwe\r\nSG Singapur\r\nSK Slowakei\r\nSI Slowenien\r\nSB Solomonen\r\nSO Somalia\r\nGS S. Georgia  S. Sandwichinseln\r\nES Spanien\r\nLK Sri Lanka\r\nSH St. Helena\r\nKN St. Kitts und Nevis\r\nLC St. Lucia\r\nPM St. Pierre und Miquelon\r\nVC St. Vincent und Grenadinen\r\nSD Sudan\r\nSR Suriname\r\nSJ Svalbard und Jan Mayen Inseln\r\nSZ Swasiland\r\nZA Südafrika\r\nSY Syrien\r\n
TW Taiwan, Province Of China\r\nTJ Tajikistan\r\nTZ Tanzania, United Republic Of\r\nTH Thailand\r\nTG Togo\r\nTK Tokelau\r\nTO Tonga\r\nTT Trinidad And Tobago\r\nTN Tunisia\r\nTR Turkey\r\nTM Turkmenistan\r\nTC Turks And Caicos Islands\r\nTV Tuvalu\r\nUG Uganda\r\nUA Ukraine\r\nAE United Arab Emirates\r\nGB United Kingdom\r\nUS United States\r\nUM United States Minor Outlying Islands\r\nUY Uruguay\r\nUZ Uzbekistan\r\nVU Vanuatu\r\nVA Vatican City State (Holy See)\r\nVE Venezuela\r\nVN Viet Nam\r\nVG Virgin Islands (British)\r\nVI Virgin Islands (U.S.)\r\nWF Wallis And Futuna Islands\r\nEH Western Sahara\r\nYE Yemen\r\nYU Yugoslavia\r\nZR Zaire\r\nZM Zambia\r\nZW Zimbabwe\r\n	TJ Tadschikistan\r\nTW Taiwan\r\nTZ Tansania\r\nTH Thailand\r\nTG Togo\r\nTK Tokelau\r\nTO Tonga\r\nTT Trinidad und Tobago\r\nTD Tschad\r\nCZ Tschechische Republik\r\nTR Türkei\r\nTN Tunesien\r\nTM Turkmenistan\r\nTC Turks- und Caicosinseln\r\nTV Tuvalu\r\nUG Uganda\r\nUA Ukraine\r\nHU Ungarn\r\nUM USA Minor Outlying Islands\r\nVI US-amerikanische Jungferninseln\r\nUY Uruguay\r\nUZ Usbekistan\r\nVU Vanuatu\r\nVA Vatikanstadt\r\nVE Venezuela\r\nAE Vereinigte Arabische Emirate\r\nUS Vereinigte Staaten von Amerika(USA)\r\nVN Vietnam\r\nWF Wallis und Futuna\r\nCX Weihnachtsinseln\r\nBY Weissrußland\r\nEH Westsahara\r\nZR Zaire\r\nCF Zentralafrikanische Republik\r\nCY Zypern
Play "%s"	Spielen "%s"
Open "%s"	Öffnen "%s"
Select Buddy Icon...	Buddy-Symbol auswählen...
Start to Make IM Images Connection with %s	IM-Grafiken-Verbindung mit  %s aufnehmen
Accept IM Images Connection from %s	IM-Grafiken-Verbindung von %s annehmen
Rendezvous Error	Kontaktaufnahme-Fehler
Must fill in the data field	Muß Datenfeld ausfüllen
Send IM Images	IM-Grafiken senden
Close IM Images	IM-Grafiken schließen
%s wants to directly connect	%s möchte eine Direktverbindung herstellen
%s cancels request; no connection was made	%s bricht Anfrage ab. Es wurde keine Verbindung hergestellt.
%s ignores request; no connection was made	%s ignoriert Anfrage. Es wurde keine Verbindung hergestellt.
%s declines request; no connection was made	%s lehnt Anfrage ab. Es wurde keine Verbindung hergestellt.
%s is online but away; no connection was made	%s ist online aber abwesend. Es wurde keine Verbindung hergestellt.
%s's software can not handle your request	Die Software von %s kann Ihre Anfrage nicht verarbeiten.
%s has not responded; no connection was made	%s hat nicht geantwortet. Es wurde keine Verbindung hergestellt.
%s has cancelled request due to no response from you; no connection was made	%s hat die Anfrage abgebrochen, weil er/sie keine Antwort von Ihnen erhielt. Es wurde keine Verbindung hergestellt.
%s is now directly connected	%s ist jetzt direkt verbunden.
Connection problem with %s; no connection was made	Problem bei der Verbindung mit %s. Es wurde keine Verbindung hergestellt.
The image you have selected is too big.\r\nThe maximum size allowed is %ld bytes.	Die ausgewählte Grafik ist zu groß.\r\nDie maximale zulässige Größe ist %ld Byte.
Choose Buddy Icon Image	Grafik für Buddy-Symbol wählen
Graphic Files (*.gif,*.jpg,*.bmp,*.ico,*.xbm)|*.gif;*.jpg;*.bmp;*.ico;*.xbm|	Grafikdateien (*.gif,*.jpg,*.bmp,*.ico,*.xbm)|*.gif;*.jpg;*.bmp;*.ico;*.xbm|
The file you have selected is not an image.	Die ausgewählte Datei ist keine Grafik.
Do you really want to clear the selected Buddy Icon?	Wollen Sie das ausgewählte Buddy-Symbol wirklich löschen?
Do you really want to clear all of the Buddy Icons?	Wollen Sie wirklich alle Buddy-Symbole löschen?
Confirm action	Aktion bestätigen
Select Buddy Icon	Buddy-Symbol auswählen
Buddy Icon for selected buddy:	Buddy-Symbol für ausgewählten Buddy:
Default Icon for selected group:	Standardsymbol für ausgewählte Gruppe:
Your Icon to send to buddies	Ihr Symbol, das Sie an Buddies senden
http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/buddyicons/buddyicon.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/buddyicons/buddyicon.html
*My Buddy Icon*	*Mein Buddy-Symbol*
The external application you have requested is not currently installed on your computer (if you think it is, go to the Games Preferences tab and input its location).  To download the application or find out information about it, click on the following:<BR><BR><A HREF="%s">%s Home Page</A>	Die angeforderte externe Anwendung ist derzeit nicht auf Ihrem Computer installiert (wenn Sie anderer Meinung sind, rufen Sie das Register "Spiele-Voreinstellungen" auf und geben ihre Position an). Um die Anwendung herunterzuladen oder weitere Informationen zu erhalten, klicken Sie auf:<BR><BR><A HREF="%s">%s Home Page</A>
Games/External Apps	Spiele/Externe Anwendungen
Download	Herunterladen
Add New App...	Neue Anwendung hinzufügen...
Games Center...	Spiele-Zentrum...
External Apps Center...	Anwendungen-Zentrum...
Name3	Name3
Name4	Name4
Browse My PC...	Meinen PC durchsuchen...
Net Find...	Netzsuche...
You must include the Name and either the Executable path or the URL	Sie müssen den Namen und entweder den Pfad der ausführbaren Datei oder die URL angeben.
Waiting for %s	Warte auf %s
Edit Game Info	Spiele-Infos bearbeiten
Send Request to %s	Anfrage schicken an %s
Send Request to %s, %s, ...	Anfrage schicken an %s, %s, ...
Received Request from %s	Anfrage erhalten von %s
AIM Games Center	AIM-Spiele-Zentrum
AIM External Applications Center	AIM-Anwendungen-Zentrum
Games Information	Spiele-Infos
<B>%s</B> is signed on through AOL and cannot receive this invitation	<B>%s</B> ist über AOL angemeldet und kann diese Einladung nicht empfangen.
'%s' is an invalid screenname	'%s' ist ein ungültiger AIM-Name
You can only invite one buddy for this game	Sie können für dieses Spiel nur einen Buddy einladen.
You must enter at least one valid user name	Sie müssen mindestens einen gültigen Benutzernamen eingeben
Do you really want to remove the application from your list?	Wollen Sie die Anwendung wirklich aus Ihrer Liste entfernen?
Do you really want to reset?	Wollen Sie wirklich zurücksetzen?
%s has not responded	%s hat nicht geantwortet.
%s has cancelled request due to no response from you	%s hat die Anfrage abgebrochen, weil er/sie keine Antwort von Ihnen erhielt.
%s canceled request	%s hat Anfrage abgebrochen.
%s ignored request	%s hat Anfrage ignoriert
%s declined request	%s hat Anfrage abgelehnt
%s does not have the application installed	%s hat die Anwendung nicht installiert.
%s is online but away	%s ist online aber abwesend
%s's software cannot handle your request	Die Software von %s kann Ihre Anfrage nicht verarbeiten.
%s's software could not interpret your request	Die Software von %s konnte Ihre Anfrage nicht interpretieren.\r\n
%%s invites you to run <I>%s</I> with him	%%s lädt Sie ein, <I>%s</I> mit ihm auszuführen
Waiting for %s to respond to invitation to run %s...	Warte, daß %s die Einladung, %s auszuführen, beantwortet...
Executable path	Pfad der ausführbaren Datei
Executable files|*.exe;*.bat;*.com|All Files (*.*)|*.*||	Ausführbare Dateien|*.exe;*.bat;*.com|Alle Dateien (*.*)|*.*||
Executable	Ausführbar
Start in	Starten in
Command line	Befehlszeile
Server command line	Server-Befehlszeile
URL	URL
UUID	UUID
Path name in Registry	Pfadname in Registry
Hints	Tips
Launch when sending invite	Beim Schicken von Einladung starten
True	Wahr
This is a Game	Dies ist ein Spiel
Hide IMs when launched	Telegramme nach Start verbergen
(No URL specified)	(Keine URL angegeben)
There is already a game with the same name. Do you want to replace the old entry with this new one?	Es liegt bereits ein Spiel gleichen Namens vor. Wollen Sie die neue Eingabe durch die neue ersetzen?
http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/gamecenter/intro.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/gamecenter/intro.html
http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/extapps/intro.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/extapps/intro.html
Hints: %s	Tips: %s
No Hints	Keine Tips
Your buddy entered text.	Ihr Buddy hat Text eingegeben.
Your buddy is typing	Ihr Buddy tippt.
Your buddy is recording	Ihr Buddy nimmt auf.
Your buddy is connected but has not yet typed anything	Ihr Buddy ist verbunden, hat jedoch noch nichts eingetippt.
Click to customize news ticker.	Klicken Sie, um den News-Ticker anzupassen.
http://www.aol.com/aim/faq	http://www.aol.com/aim/faq
Start Talk with %s	Gespräch mit %s beginnen
Accept Talk connection from %s	Gesprächsverbindung von %s annehmen
Stocks	Aktien
Prices delayed at least 15 minutes.	Preise sind um mindestens 15 Minuten verzögert.
http://lookup.netscape.com/lookup/Lookup.tibco?view=lookup	http://lookup.netscape.com/lookup/Lookup.tibco?view=lookup
2 minutes	2 Minuten
5 minutes	5 Minuten
10 minutes	10 Minuten
Please enter a list of stock symbols or check at\r\nleast one of the stock index selections.	Bitte geben Sie eine Liste von Börsensymbolen ein, \r\noder markieren Sie mindestens eine Börsenindexauswahl.
Edit E-mail Info	eMail-Infos bearbeiten
Stock Ticker\nTable View	Börsen-Ticker\nTabellenansicht
Price is above or below previous close by %.3f%%	Preis liegt um  %.3f%% über oder unter dem vorherigen Kursschluß.
Large Chart	Großes Diagramm
Small Chart	Kleines Diagramm
Add A Stock	Akie hinzufügen
Remove current stock	Aktuelle Aktie entfernen
Most data delayed at least 15 minutes.  NYSE  AMEX data delayed at least 20 minutes.	Sie meisten Daten sind um mindestens 15 Minuten verzögert. NYSE-  AMEX-Daten sind um mindestens 20 Minuten verzögert.
Edit current stock	Aktuelle Aktie
Stock Alerts	Aktien-Alerts
Ticker Preferences	Ticker-Voreinstellungen
You must fill in all fields in the form	Sie müssen alle Felder in dem Formular ausfüllen.
You already have an entry for this e-mail address. Do you want to replace the old entry with this new one?	Sie haben bereits einen Eintrag für diese eMail-Adresse. Wollen Sie den alten Eintrag durch diesen neuen ersetzen?
AOL Mail	AOL-Mail
POP3 Mail	POP3-Mail
You must type the full e-mail address for POP3 accounts, e.g. user@aaabbb.com	Sie müssen die vollständige eMail-Adresse für POP3-Zugänge eingeben, z. B.  nutzer@aaabbb.com
Do you really want to remove this entry from your list?	Wollen Sie diesen Eintrag wirklick aus Ihrer Liste entfernen?
%s  -  %d messages  -  last checked %s	%s  -  %d Mitteilungen  -  zuletzt überprüft %s
<HTML><BODY LINK="#0060C0"><TABLE WIDTH="100%" HEIGHT="15" BORDER="1" BGCOLOR="#dddddd"><TR><TD WIDTH="15%" ALIGN="CENTER"><font size=1>#<TD WIDTH="65%" ALIGN="CENTER"><font size=1>E-mail address<TD WIDTH="20%" ALIGN="CENTER"><font size=1>Checked</TABLE><TABLE WIDTH="100%" BGCOLOR="#ffffbb">	<HTML><BODY LINK="#0060C0"><TABLE WIDTH="100%" HEIGHT="15" BORDER="1" BGCOLOR="#dddddd"><TR><TD WIDTH="15%" ALIGN="CENTER"><font size=1>#<TD WIDTH="65%" ALIGN="CENTER"><font size=1>E-mail address<TD WIDTH="20%" ALIGN="CENTER"><font size=1>Checked</TABLE><TABLE WIDTH="100%" BGCOLOR="#ffffbb">
<TR><TD WIDTH="15%%" ALIGN="CENTER"><font size=2>%s<TD WIDTH="65%%" ALIGN="CENTER"><font size=2>%s<TD WIDTH="20%%" ALIGN="CENTER"><font size=2>%s	<TR><TD WIDTH="15%%" ALIGN="CENTER"><font size=2>%s<TD WIDTH="65%%" ALIGN="CENTER"><font size=2>%s<TD WIDTH="20%%" ALIGN="CENTER"><font size=2>%s
Browse for POP3 e-mail program	Nach POP3-eMail-Programm durchsuchen
http://charts.netscape.com/?action=aimfields=snpghlocvAasyms=%s	http://charts.netscape.com/?action=aimfields=snpghlocvAasyms=%s
Last Price	Letzter Preis
Change	Änderung
High	Hoch
Low	Niedrig
Volume	Volumen
Most data delayed at least 15 minutes.  NYSE  AMEX data delayed at least 20 minutes.	Die meisten Daten sind um mindestens 15 Minuten verzögert.  NYSE-  AMEX-Daten sind um mindestens 20 Minuten verzögert.
Name	Name
Chart for %s	Diagramm für %s
Most data delayed at\r\nleast 15 minutes.	Die meisten Daten sind um\r\nmindestens 15 Minuten verzögert.
(All Stocks)	(Alle Aktien)
http://charts.netscape.com/?s=%s	http://charts.netscape.com/?s=%s
Amount/Units	Betrag/Einheiten
Percent	Prozent
Price is below previous close by %.3f%%	Der Preis liegt um %.3f%% unter dem vorherigen Kursschluß.
Price is above previous close by %.3f%%	Der Preis liegt um %.3f%% über dem vorherigen Kursschluß.
Alert Input Error	Achtung: Eingabefehler
Negative numbers are not allowed.	Negative Zahlen sind nicht zulässig.
Edit Alert...	Alert bearbeiten...
Chart...	Diagramm...
Stock Alert	Aktien-Alert
The current price %.3f is above the previous close by at least %.3f%%.	Der aktuelle Preis %.3f liegt um %.3f%% über dem vorherigen Kursschluß.
The current price %.3f is below the previous close by at least %.3f%%.	Der aktuelle Preis %.3f liegt um %.3f%% unter dem vorherigen Kursschluß.
Talk Preferences	Gesprächs-Voreinstellungen
Change Meter Style	Stil des Zeitmessers ändern
Disconnected	Verbindung wird unterbrochen
Connecting	Verbindung wird hergestellt
Paused	Angehalten
Muted (your buddy cannot hear you)	Stumm (Ihr Buddy kann Sie nicht hören)
Half-duplex: you are paused	Halbduplex: Sie sind angehalten
Half-duplex: your buddy is paused	Halbduplex: Ihr Buddy ist angehalten
Half-duplex: you can talk	Halbduplex: Sie können sprechen
Half-duplex: wait for your buddy to finish	Halbduplex: warten Sie, bis Ihr Buddy fertig ist
Half-duplex: to talk click 'Push to Talk'	Halbduplex: klicken Sie auf "Zum Sprechen drücken", um zu sprechen
%s is blocked.	%s ist gesperrt.
Open Alert Window...	Alert-Fenster öffnen...
AIM Mail	AIM-Telegramm
Remove %s	%s entfernen
Edit %s	%s bearbeiten
Add New Stock...	Neue Aktie hinzufügen...
Edit Alerts for %s...	Alerts für %s bearbeiten...
Last Price:	Letzter Preis:
Change:	Ändern:
%% Change:	%% ändern:
High:	Hoch:
Low:	Tief:
Open:	Öffnen:
Previous Close:	Vorheriger Kursschluß
52-week High:	52-Wochen-Hoch:
52-week Low:	52-Wochen-Tief:
Windows Volume Controls	Windows-Lautstärkensteuerung
Compuserve Mail	Compuserve-Telegramm
Final Release	Endgültiges Release
Both (Test and Final Releases)	Beides (Test und endgültiges Release)
One or more stock symbols you are adding already exists	Ein oder mehrere der von Ihnen hinzugefügten Aktiensymbole existieren bereits.
News Headlines	News Headlines
<html><head><noscript><meta http-equiv=Refresh content="0; url=%s"></noscript></head><body onload="document.pform.submit();"><form name="pform" action="%s" method="POST">\n	<html><head><noscript><meta http-equiv=Refresh content="0; url=%s"></noscript></head><body onload="document.pform.submit();"><form name="pform" action="%s" method="POST">\n
<input type="hidden" name="%s" value="%s">\n	<input type="hidden" name="%s" value="%s">\n
</form></body></html>\n	</form></body></html>\n
You have clicked on an AIM hyperlink that your client does not support.\r\nYou may have to upgrade AIM.	Sie haben auf einen AIM-Hyperlink geklickt, der von Ihrem Client nicht unterstützt wird.\r\nMöglicherweise müssen Sie AIM aufrüsten.
Block Buddy	Buddy sperren
Unblock Buddy	Buddy freigeben
Capabilities:	Capabilities:
Chat	Chatten
Send File	Datei senden
Get File	Datei erhalten
IM Image	IM-Grafik
Command Line Apps.	Befehlszeilenanwendungen
Template	Vorlage
The AIM hyperlink you clicked has invalid parameters.	Der AIM-Hyperlink, auf den Sie geklickt haben, enthält ungültige Parameter.
AOL Instant Messenger (SM) - You've Got Mail	AOL Instant Messenger(SM) - Sie haben Post
Copy Picture	Bild kopieren
%s cancels the Get File request	%s widerruft die Datei-erhalten-Anfrage.
A buddy will not be able to get files from the directory you specified in your Preferences, that have characters other than the normal Ascii characters in their name.	Buddies können keine Dateien aus dem unter Ihren Voreinstellungen angegebenen Verzeichnis erhalten, deren Namen andere als normale ASCII-Zeichen enthalten.
The Get File listing closed because it has been awhile since you have done anything.	Die Datei-erhalten-Liste ist geschlossen, weil seit längerer Zeit keine Aktion erfolgt ist.
http://aimmail-alpha.mcom.com/webmail/fm/login_ext.tmpl	http://aimmail-alpha.mcom.com/webmail/fm/login_ext.tmpl
Sound card failed to initialize properly. Perhaps another application is using it.	Soundkarte wurde nicht korrekt initialisiert. Möglicherweise wird sie von einer anderen Anwendung verwendet.
Enter a valid price greater than zero without symbols	Enter a valid price greater than zero without symbols
http://www.aol.com/aim/password.adp	http://www.aol.com/aim/password.adp
America Online, Inc.	America Online, Inc.
Copyright © 1996-2000 America Online, Inc.	Copyright © 1996-2000 America Online, Inc.
AOL Instant Messenger (SM)	AOL Instant Messenger (SM)
3.5.1808	3.5.1808
1808	1808
Aim Resources	Aim Resources
AIMRES	AIMRES
AIMRES.DLL	AIMRES.DLL
